,date,open,close,high,low,volume,code
201,2017-11-01,10.58,10.45,10.58,10.42,11744.0,000715
202,2017-11-02,10.41,10.2,10.49,10.2,20881.0,000715
203,2017-11-03,10.23,10.22,10.3,10.16,10326.0,000715
204,2017-11-06,10.2,10.25,10.29,10.2,8172.0,000715
205,2017-11-07,10.25,10.44,10.54,10.21,24178.0,000715
206,2017-11-08,10.44,10.35,10.44,10.32,12650.0,000715
207,2017-11-09,10.36,10.41,10.44,10.3,9226.0,000715
208,2017-11-10,10.39,10.37,10.46,10.35,8063.0,000715
209,2017-11-13,10.37,10.39,10.44,10.33,7842.0,000715
210,2017-11-14,10.4,10.43,10.47,10.32,12773.0,000715
211,2017-11-15,10.36,10.25,10.4,10.17,14714.0,000715
212,2017-11-16,10.21,10.21,10.32,10.19,7313.0,000715
213,2017-11-17,10.19,9.53,10.19,9.41,24756.0,000715
214,2017-11-20,9.55,9.3,9.55,9.09,15431.0,000715
215,2017-11-21,9.33,9.39,9.51,9.2,11506.0,000715
216,2017-11-22,9.3,9.3,9.44,9.25,14059.0,000715
217,2017-11-23,9.31,9.15,9.33,9.11,13603.0,000715
218,2017-11-24,9.11,9.17,9.24,9.1,7225.0,000715
219,2017-11-27,9.18,9.16,9.27,9.12,5737.0,000715
220,2017-11-28,9.16,9.31,9.32,9.14,7013.0,000715
221,2017-11-29,9.32,9.31,9.35,9.2,10018.0,000715
222,2017-11-30,9.31,9.33,9.35,9.26,6483.0,000715
223,2017-12-01,9.26,9.39,9.39,9.26,5936.0,000715
224,2017-12-04,9.48,9.31,9.48,9.22,11351.0,000715
225,2017-12-05,9.39,9.24,9.39,9.0,12757.0,000715
226,2017-12-06,9.16,9.65,9.65,9.07,25763.0,000715
227,2017-12-07,9.88,9.53,9.9,9.53,36431.0,000715
228,2017-12-08,9.29,9.6,9.74,9.29,17112.0,000715
229,2017-12-11,9.56,9.68,9.78,9.42,18498.0,000715
230,2017-12-12,9.61,9.41,9.61,9.29,15420.0,000715
231,2017-12-13,9.46,9.45,9.46,9.35,4767.0,000715
232,2017-12-14,9.37,9.52,9.56,9.37,6205.0,000715
233,2017-12-15,9.61,9.78,9.97,9.54,31482.0,000715
234,2017-12-18,9.7,9.51,9.76,9.5,14799.0,000715
235,2017-12-19,9.51,9.57,9.58,9.46,6128.0,000715
236,2017-12-20,9.61,9.51,9.61,9.48,7066.0,000715
237,2017-12-21,9.47,9.51,9.54,9.38,5893.0,000715
238,2017-12-22,9.44,9.54,9.58,9.44,4616.0,000715
239,2017-12-25,9.43,9.43,9.55,9.35,4961.0,000715
240,2017-12-26,9.53,9.52,9.62,9.36,9897.0,000715
241,2017-12-27,9.41,9.55,9.55,9.41,7560.0,000715
242,2017-12-28,9.46,9.48,9.56,9.42,4385.0,000715
243,2017-12-29,9.48,9.57,9.57,9.46,6767.0,000715
244,2018-01-02,9.56,9.58,9.64,9.47,4416.0,000715
245,2018-01-03,9.56,9.57,9.6,9.51,10047.0,000715
246,2018-01-04,9.57,9.79,9.8,9.52,34584.0,000715
247,2018-01-05,9.69,9.83,10.02,9.66,42740.0,000715
248,2018-01-08,9.77,9.64,9.77,9.59,23599.0,000715
249,2018-01-09,9.73,9.61,9.73,9.56,10628.0,000715
250,2018-01-10,9.59,9.48,9.59,9.42,7898.0,000715
