Date Time,Open,High,Low,Close,Volume,Adj Close
2017-11-01,10.58,10.58,10.42,10.45,11744.0,10.45
2017-11-02,10.41,10.49,10.2,10.2,20881.0,10.2
2017-11-03,10.23,10.3,10.16,10.22,10326.0,10.22
2017-11-06,10.2,10.29,10.2,10.25,8172.0,10.25
2017-11-07,10.25,10.54,10.21,10.44,24178.0,10.44
2017-11-08,10.44,10.44,10.32,10.35,12650.0,10.35
2017-11-09,10.36,10.44,10.3,10.41,9226.0,10.41
2017-11-10,10.39,10.46,10.35,10.37,8063.0,10.37
2017-11-13,10.37,10.44,10.33,10.39,7842.0,10.39
2017-11-14,10.4,10.47,10.32,10.43,12773.0,10.43
2017-11-15,10.36,10.4,10.17,10.25,14714.0,10.25
2017-11-16,10.21,10.32,10.19,10.21,7313.0,10.21
2017-11-17,10.19,10.19,9.41,9.53,24756.0,9.53
2017-11-20,9.55,9.55,9.09,9.3,15431.0,9.3
2017-11-21,9.33,9.51,9.2,9.39,11506.0,9.39
2017-11-22,9.3,9.44,9.25,9.3,14059.0,9.3
2017-11-23,9.31,9.33,9.11,9.15,13603.0,9.15
2017-11-24,9.11,9.24,9.1,9.17,7225.0,9.17
2017-11-27,9.18,9.27,9.12,9.16,5737.0,9.16
2017-11-28,9.16,9.32,9.14,9.31,7013.0,9.31
2017-11-29,9.32,9.35,9.2,9.31,10018.0,9.31
2017-11-30,9.31,9.35,9.26,9.33,6483.0,9.33
2017-12-01,9.26,9.39,9.26,9.39,5936.0,9.39
2017-12-04,9.48,9.48,9.22,9.31,11351.0,9.31
2017-12-05,9.39,9.39,9.0,9.24,12757.0,9.24
2017-12-06,9.16,9.65,9.07,9.65,25763.0,9.65
2017-12-07,9.88,9.9,9.53,9.53,36431.0,9.53
2017-12-08,9.29,9.74,9.29,9.6,17112.0,9.6
2017-12-11,9.56,9.78,9.42,9.68,18498.0,9.68
2017-12-12,9.61,9.61,9.29,9.41,15420.0,9.41
2017-12-13,9.46,9.46,9.35,9.45,4767.0,9.45
2017-12-14,9.37,9.56,9.37,9.52,6205.0,9.52
2017-12-15,9.61,9.97,9.54,9.78,31482.0,9.78
2017-12-18,9.7,9.76,9.5,9.51,14799.0,9.51
2017-12-19,9.51,9.58,9.46,9.57,6128.0,9.57
2017-12-20,9.61,9.61,9.48,9.51,7066.0,9.51
2017-12-21,9.47,9.54,9.38,9.51,5893.0,9.51
2017-12-22,9.44,9.58,9.44,9.54,4616.0,9.54
2017-12-25,9.43,9.55,9.35,9.43,4961.0,9.43
2017-12-26,9.53,9.62,9.36,9.52,9897.0,9.52
2017-12-27,9.41,9.55,9.41,9.55,7560.0,9.55
2017-12-28,9.46,9.56,9.42,9.48,4385.0,9.48
2017-12-29,9.48,9.57,9.46,9.57,6767.0,9.57
2018-01-02,9.56,9.64,9.47,9.58,4416.0,9.58
2018-01-03,9.56,9.6,9.51,9.57,10047.0,9.57
2018-01-04,9.57,9.8,9.52,9.79,34584.0,9.79
2018-01-05,9.69,10.02,9.66,9.83,42740.0,9.83
2018-01-08,9.77,9.77,9.59,9.64,23599.0,9.64
2018-01-09,9.73,9.73,9.56,9.61,10628.0,9.61
2018-01-10,9.59,9.59,9.42,9.48,7898.0,9.48
2018-01-11,9.48,9.59,9.4,9.59,6604.0,9.59
