Date Time,Open,High,Low,Close,Volume,Adj Close
2017-11-01,23.59,23.86,23.35,23.68,5574.0,23.68
2017-11-02,23.55,23.76,23.03,23.6,7704.0,23.6
2017-11-03,23.6,23.66,23.03,23.16,4791.0,23.16
2017-11-06,23.36,23.36,23.0,23.21,2522.0,23.21
2017-11-07,23.34,23.36,23.15,23.34,3374.0,23.34
2017-11-08,23.38,23.79,23.25,23.5,4295.0,23.5
2017-11-09,23.5,23.63,23.36,23.57,3067.0,23.57
2017-11-10,23.57,25.93,23.53,25.93,55536.0,25.93
2017-11-13,25.79,25.99,24.58,24.75,34272.0,24.75
2017-11-14,24.54,25.24,24.2,24.2,18421.0,24.2
2017-11-15,24.27,26.62,24.27,26.62,67213.0,26.62
2017-11-16,26.5,29.28,26.0,27.81,76761.0,27.81
2017-11-17,27.66,29.38,26.1,27.88,60343.0,27.88
2017-11-20,28.23,28.75,27.0,27.48,43452.0,27.48
2017-11-21,27.19,30.23,26.52,30.23,64583.0,30.23
2017-11-22,29.19,31.44,29.19,30.04,64118.0,30.04
2017-11-23,30.68,30.69,27.44,28.15,45153.0,28.15
2017-11-24,28.18,28.96,27.0,27.45,39524.0,27.45
2017-11-27,27.6,27.84,25.74,26.05,32284.0,26.05
2017-11-28,25.91,26.87,25.78,26.37,31337.0,26.37
2017-11-29,26.47,26.59,25.06,25.52,30904.0,25.52
2017-11-30,25.5,25.82,25.16,25.56,23286.0,25.56
2017-12-01,25.41,26.4,25.18,26.2,22110.0,26.2
2017-12-04,26.25,26.25,25.21,25.37,16006.0,25.37
2017-12-05,25.23,25.54,22.83,22.96,30519.0,22.96
2017-12-06,22.59,22.99,21.42,22.73,24779.0,22.73
2017-12-07,22.33,22.77,22.09,22.74,14259.0,22.74
2017-12-08,22.4,23.26,22.4,22.91,13808.0,22.91
2017-12-11,22.91,23.09,22.61,22.61,13589.0,22.61
2017-12-12,22.62,24.5,22.62,23.25,26363.0,23.25
2017-12-13,22.75,23.16,22.5,22.97,13490.0,22.97
2017-12-14,22.97,23.97,22.8,23.66,20844.0,23.66
2017-12-15,23.38,24.52,23.32,23.75,20057.0,23.75
2017-12-18,23.94,23.94,22.51,22.8,13060.0,22.8
2017-12-19,22.8,23.18,22.44,22.91,11365.0,22.91
2017-12-20,22.93,23.01,21.5,22.04,26948.0,22.04
2017-12-21,22.0,22.2,21.02,22.04,15652.0,22.04
2017-12-22,21.98,22.6,21.8,22.42,15329.0,22.42
2017-12-25,22.3,22.58,22.01,22.42,5678.0,22.42
2017-12-26,22.42,22.53,22.13,22.44,6207.0,22.44
2017-12-27,22.47,22.47,22.06,22.17,6824.0,22.17
2017-12-28,22.1,22.32,21.63,22.21,6022.0,22.21
2017-12-29,22.21,22.45,22.11,22.38,5204.0,22.38
2018-01-02,22.29,22.49,22.0,22.34,6261.0,22.34
2018-01-03,22.42,23.89,22.27,23.8,18795.0,23.8
