,date,open,close,high,low,volume,code
223,2017-12-01,24.97,24.87,25.15,24.81,134417.0,000895
224,2017-12-04,24.79,25.08,25.15,24.67,120402.0,000895
225,2017-12-05,25.03,25.4,25.52,24.95,156689.0,000895
226,2017-12-06,25.3,25.27,25.5,24.98,131567.0,000895
227,2017-12-07,25.31,25.03,25.48,24.98,70937.0,000895
228,2017-12-08,25.01,25.32,25.5,24.91,84271.0,000895
229,2017-12-11,25.58,26.08,26.1,25.39,102503.0,000895
230,2017-12-12,25.91,25.92,26.25,25.73,90764.0,000895
231,2017-12-13,25.87,26.55,26.6,25.7,156264.0,000895
232,2017-12-14,26.5,26.61,26.7,26.36,97702.0,000895
233,2017-12-15,26.61,26.3,26.75,26.1,62152.0,000895
234,2017-12-18,26.3,26.24,26.68,26.06,68528.0,000895
235,2017-12-19,26.37,26.97,27.15,26.27,105807.0,000895
236,2017-12-20,27.05,27.06,27.63,26.85,130141.0,000895
237,2017-12-21,27.24,27.45,27.75,26.88,109210.0,000895
