Date Time,Open,High,Low,Close,Volume,Adj Close
2017-11-01,11.56,11.59,11.32,11.4,692617.0,11.4
2017-11-02,11.36,11.58,11.26,11.54,604308.0,11.54
2017-11-03,11.49,11.68,11.35,11.39,743343.0,11.39
2017-11-06,11.42,11.42,11.09,11.28,1029902.0,11.28
2017-11-07,11.27,12.09,11.25,11.92,2477163.0,11.92
2017-11-08,12.0,12.59,11.93,12.13,4262825.0,12.13
2017-11-09,12.2,12.57,12.15,12.33,2295289.0,12.33
2017-11-10,12.37,12.55,12.15,12.3,1757552.0,12.3
2017-11-13,12.35,13.1,12.35,12.9,2566906.0,12.9
2017-11-14,12.95,13.26,12.81,12.95,1780302.0,12.95
2017-11-15,12.9,13.13,12.77,12.9,1263052.0,12.9
2017-11-16,12.9,13.12,12.67,13.1,1200814.0,13.1
2017-11-17,13.17,13.46,13.03,13.18,2064149.0,13.18
2017-11-20,13.13,14.25,13.05,14.25,2843925.0,14.25
2017-11-21,14.07,14.79,14.01,14.45,2495327.0,14.45
2017-11-22,14.48,15.24,14.48,15.1,2570231.0,15.1
2017-11-23,15.15,15.24,14.07,14.35,2429142.0,14.35
2017-11-24,14.29,14.59,13.78,14.56,2630189.0,14.56
2017-11-27,14.3,14.3,13.75,13.93,2064085.0,13.93
2017-11-28,13.85,13.85,13.4,13.7,1766432.0,13.7
2017-11-29,13.73,13.93,13.47,13.82,1564094.0,13.82
2017-11-30,13.7,13.73,13.26,13.38,1379635.0,13.38
2017-12-01,13.4,13.48,12.96,13.0,1784933.0,13.0
2017-12-04,13.05,13.37,13.0,13.3,1454023.0,13.3
2017-12-05,13.15,13.49,13.1,13.3,1723681.0,13.3
2017-12-06,13.26,13.27,12.79,13.08,1619844.0,13.08
2017-12-07,13.05,13.14,12.75,12.83,1181957.0,12.83
2017-12-08,12.89,13.09,12.75,13.09,1351315.0,13.09
2017-12-11,13.08,13.57,12.88,13.5,2261952.0,13.5
2017-12-12,13.4,13.48,13.02,13.02,1743405.0,13.02
2017-12-13,13.0,13.2,12.88,13.13,1289248.0,13.13
2017-12-14,13.15,13.31,12.91,13.0,1001997.0,13.0
2017-12-15,12.9,12.93,12.67,12.72,1099952.0,12.72
2017-12-18,12.73,12.91,12.64,12.75,805464.0,12.75
2017-12-19,12.79,13.32,12.74,13.28,2397942.0,13.28
2017-12-20,13.2,13.31,13.13,13.26,1106245.0,13.26
2017-12-21,13.18,13.68,13.16,13.54,1485203.0,13.54
2017-12-22,13.5,13.63,13.45,13.52,742900.0,13.52
2017-12-25,13.52,13.86,13.16,13.25,1585567.0,13.25
2017-12-26,13.26,13.69,13.19,13.66,1123688.0,13.66
2017-12-27,13.58,13.78,13.19,13.29,1366566.0,13.29
2017-12-28,13.28,13.46,13.02,13.21,1553030.0,13.21
2017-12-29,13.21,13.43,13.1,13.3,982915.0,13.3
2018-01-02,13.35,13.93,13.32,13.7,2081592.0,13.7
2018-01-03,13.73,13.86,13.2,13.33,2962498.0,13.33
