,date,open,close,high,low,volume,code
201,2017-11-01,4.73,4.68,4.73,4.67,55028.0,000005
202,2017-11-02,4.7,4.62,4.7,4.6,64776.0,000005
203,2017-11-03,4.62,4.55,4.63,4.52,55793.0,000005
204,2017-11-06,4.55,4.56,4.56,4.5,30162.0,000005
205,2017-11-07,4.56,4.63,4.65,4.52,54876.0,000005
206,2017-11-08,4.63,4.61,4.63,4.59,40519.0,000005
207,2017-11-09,4.61,4.65,4.66,4.59,44863.0,000005
208,2017-11-10,4.64,4.64,4.65,4.59,47488.0,000005
209,2017-11-13,4.64,4.63,4.66,4.6,44918.0,000005
210,2017-11-14,4.61,4.66,4.66,4.52,58436.0,000005
211,2017-11-15,4.64,4.64,4.65,4.57,41072.0,000005
212,2017-11-16,4.61,4.64,4.65,4.58,44997.0,000005
213,2017-11-17,4.63,4.59,4.63,4.46,65439.0,000005
214,2017-11-20,4.5,4.5,4.54,4.36,41511.0,000005
215,2017-11-21,4.47,4.47,4.52,4.46,24833.0,000005
216,2017-11-22,4.46,4.39,4.49,4.36,47315.0,000005
217,2017-11-23,4.37,4.22,4.37,4.22,70238.0,000005
218,2017-11-24,4.22,4.21,4.23,4.18,33993.0,000005
219,2017-11-27,4.23,4.18,4.23,4.17,30141.0,000005
220,2017-11-28,4.19,4.23,4.24,4.18,33942.0,000005
221,2017-11-29,4.23,4.24,4.28,4.19,35443.0,000005
222,2017-11-30,4.24,4.2,4.25,4.2,25756.0,000005
223,2017-12-01,4.2,4.22,4.24,4.2,23653.0,000005
224,2017-12-04,4.24,4.17,4.24,4.17,34317.0,000005
225,2017-12-05,4.17,3.97,4.19,3.96,82009.0,000005
226,2017-12-06,3.98,4.0,4.04,3.94,52186.0,000005
227,2017-12-07,4.0,4.04,4.07,3.97,54769.0,000005
228,2017-12-08,4.04,4.11,4.13,4.02,39850.0,000005
229,2017-12-11,4.1,4.17,4.17,4.09,53082.0,000005
230,2017-12-12,4.18,4.22,4.25,4.12,70641.0,000005
231,2017-12-13,4.23,4.19,4.23,4.17,25837.0,000005
232,2017-12-14,4.2,4.23,4.27,4.16,44503.0,000005
233,2017-12-15,4.2,4.18,4.22,4.16,26415.0,000005
234,2017-12-18,4.17,4.2,4.24,4.13,29541.0,000005
235,2017-12-19,4.2,4.17,4.24,4.16,43643.0,000005
236,2017-12-20,4.17,4.1,4.18,4.09,25422.0,000005
237,2017-12-21,4.1,4.16,4.19,4.09,40698.0,000005
238,2017-12-22,4.19,4.13,4.19,4.12,15108.0,000005
239,2017-12-25,4.13,4.1,4.16,4.08,22402.0,000005
240,2017-12-26,4.08,4.1,4.1,4.05,17482.0,000005
241,2017-12-27,4.1,4.06,4.1,4.06,21164.0,000005
242,2017-12-28,4.07,4.12,4.14,4.07,29619.0,000005
243,2017-12-29,4.13,4.14,4.16,4.12,24351.0,000005
244,2018-01-02,4.15,4.32,4.5,4.15,71539.0,000005
245,2018-01-03,4.35,4.27,4.35,4.22,67990.0,000005
246,2018-01-04,4.27,4.29,4.33,4.23,43809.0,000005
247,2018-01-05,4.26,4.34,4.45,4.26,85226.0,000005
248,2018-01-08,4.29,4.37,4.41,4.27,68722.0,000005
249,2018-01-09,4.35,4.41,4.55,4.31,107800.0,000005
250,2018-01-10,4.39,4.32,4.42,4.29,57349.0,000005
251,2018-01-11,4.3,4.29,4.32,4.23,37496.0,000005
252,2018-01-12,4.28,4.37,4.46,4.24,105458.0,000005
