,date,open,close,high,low,volume,code
201,2017-11-01,7.78,7.82,7.87,7.75,20352.0,000713
202,2017-11-02,7.79,7.64,7.83,7.55,31601.0,000713
203,2017-11-03,7.65,7.48,7.65,7.45,28060.0,000713
204,2017-11-06,7.5,7.57,7.59,7.39,21438.0,000713
205,2017-11-07,7.56,7.59,7.62,7.51,14804.0,000713
206,2017-11-08,7.61,7.62,7.69,7.56,14130.0,000713
207,2017-11-09,7.67,7.63,7.68,7.62,11626.0,000713
208,2017-11-10,7.65,7.75,7.78,7.53,29047.0,000713
209,2017-11-13,7.7,7.72,7.75,7.62,20420.0,000713
210,2017-11-14,7.72,7.59,7.72,7.58,13700.0,000713
211,2017-11-15,7.62,7.56,7.62,7.53,9407.0,000713
212,2017-11-16,7.58,7.63,7.65,7.52,14116.0,000713
213,2017-11-17,7.6,7.23,7.6,7.17,27715.0,000713
214,2017-11-20,7.19,7.48,7.52,6.9,52474.0,000713
215,2017-11-21,7.43,7.37,7.45,7.32,22228.0,000713
216,2017-11-22,7.37,7.36,7.43,7.29,18737.0,000713
217,2017-11-23,7.32,7.21,7.36,7.21,15428.0,000713
218,2017-11-24,7.19,7.21,7.28,7.13,9634.0,000713
219,2017-11-27,7.17,7.13,7.2,7.11,12558.0,000713
220,2017-11-28,7.12,7.17,7.18,7.11,11959.0,000713
221,2017-11-29,7.17,7.19,7.22,7.08,17958.0,000713
222,2017-11-30,7.17,7.2,7.2,7.11,15715.0,000713
223,2017-12-01,7.44,7.4,7.44,7.3,37741.0,000713
224,2017-12-04,7.32,7.3,7.41,7.26,18543.0,000713
225,2017-12-05,7.33,7.12,7.34,7.03,20514.0,000713
226,2017-12-06,7.14,7.26,7.26,7.04,16921.0,000713
227,2017-12-07,7.25,7.23,7.26,7.17,7222.0,000713
228,2017-12-08,7.25,7.3,7.31,7.2,16078.0,000713
229,2017-12-11,7.28,7.31,7.32,7.24,13176.0,000713
230,2017-12-12,7.3,7.29,7.39,7.27,10334.0,000713
231,2017-12-13,7.28,7.45,7.45,7.24,14700.0,000713
232,2017-12-14,7.41,7.39,7.47,7.34,15841.0,000713
233,2017-12-15,7.4,7.4,7.41,7.33,15538.0,000713
234,2017-12-18,7.42,7.36,7.65,7.36,28572.0,000713
235,2017-12-19,7.37,7.46,7.58,7.3,18808.0,000713
236,2017-12-20,7.42,7.36,7.49,7.36,13291.0,000713
237,2017-12-21,7.31,7.17,7.46,7.15,30239.0,000713
238,2017-12-22,7.21,7.03,7.21,6.97,40882.0,000713
239,2017-12-25,7.01,6.78,7.06,6.67,59273.0,000713
240,2017-12-26,6.76,6.81,6.85,6.7,31769.0,000713
241,2017-12-27,6.77,6.77,6.84,6.74,18786.0,000713
242,2017-12-28,6.78,6.83,6.84,6.74,14990.0,000713
243,2017-12-29,6.83,6.88,6.89,6.81,17925.0,000713
244,2018-01-02,6.88,6.89,6.91,6.84,21026.0,000713
245,2018-01-03,6.91,6.94,6.95,6.87,21789.0,000713
246,2018-01-04,6.97,6.92,6.98,6.91,20929.0,000713
