,date,open,close,high,low,volume,code
196,2017-11-01,28.96,29.15,30.54,28.73,622931.0,000002
197,2017-11-02,29.3,29.45,29.48,28.68,361906.0,000002
198,2017-11-03,29.23,28.19,29.52,28.05,455428.0,000002
199,2017-11-06,28.2,27.46,28.27,26.95,509485.0,000002
200,2017-11-07,27.36,27.85,27.95,27.3,379818.0,000002
201,2017-11-08,27.75,27.64,28.14,27.41,398661.0,000002
202,2017-11-09,27.52,27.67,27.79,27.3,234126.0,000002
203,2017-11-10,27.6,27.51,27.83,27.36,305912.0,000002
204,2017-11-13,27.45,27.06,27.49,26.8,347146.0,000002
205,2017-11-14,27.05,28.5,28.5,26.7,735825.0,000002
206,2017-11-15,28.28,28.44,28.66,27.91,541077.0,000002
207,2017-11-16,28.35,28.94,29.38,28.32,574432.0,000002
208,2017-11-17,28.85,28.9,29.6,28.6,563943.0,000002
209,2017-11-20,28.8,28.9,29.01,27.48,395088.0,000002
210,2017-11-21,28.54,31.79,31.79,28.54,1081788.0,000002
211,2017-11-22,31.9,32.5,33.08,31.54,1052969.0,000002
212,2017-11-23,32.42,31.3,32.74,31.02,580325.0,000002
213,2017-11-24,31.18,31.8,32.29,30.47,524343.0,000002
214,2017-11-27,31.45,31.52,32.6,30.59,521581.0,000002
215,2017-11-28,31.09,30.75,31.35,30.1,405786.0,000002
216,2017-11-29,30.78,33.82,33.83,30.28,897712.0,000002
217,2017-11-30,33.1,31.22,33.4,30.68,1000665.0,000002
218,2017-12-01,30.5,30.73,32.03,30.5,557438.0,000002
219,2017-12-04,30.6,30.85,31.3,29.9,379890.0,000002
220,2017-12-05,30.6,31.03,31.48,30.2,564302.0,000002
221,2017-12-06,30.73,30.77,31.2,30.26,389794.0,000002
222,2017-12-07,30.57,29.95,31.9,29.9,590007.0,000002
223,2017-12-08,29.38,29.82,29.88,29.05,588187.0,000002
224,2017-12-11,29.82,29.93,29.95,29.3,502135.0,000002
225,2017-12-12,29.73,29.57,30.36,29.51,467638.0,000002
226,2017-12-13,29.57,29.94,30.1,29.35,334953.0,000002
227,2017-12-14,29.94,30.11,30.37,29.85,382067.0,000002
228,2017-12-15,30.12,29.11,30.12,29.1,396229.0,000002
229,2017-12-18,29.11,28.46,29.26,28.04,421286.0,000002
230,2017-12-19,28.66,29.16,29.25,28.4,340084.0,000002
231,2017-12-20,29.09,28.6,29.1,28.52,329026.0,000002
232,2017-12-21,28.72,29.72,30.19,28.63,595163.0,000002
233,2017-12-22,29.6,29.85,30.2,29.57,342206.0,000002
234,2017-12-25,30.3,30.37,31.33,30.27,506382.0,000002
235,2017-12-26,30.49,30.5,30.8,30.12,278845.0,000002
236,2017-12-27,30.55,30.79,31.09,30.4,395488.0,000002
237,2017-12-28,30.4,30.7,30.84,29.87,367316.0,000002
238,2017-12-29,30.75,31.06,31.71,30.74,385307.0,000002
239,2018-01-02,31.45,32.56,32.99,31.45,683433.0,000002
240,2018-01-03,32.5,32.33,33.78,32.23,646870.0,000002
241,2018-01-04,32.76,33.12,33.53,32.1,529085.0,000002
