Date Time,Open,High,Low,Close,Volume,Adj Close
2017-11-01,4.73,4.73,4.67,4.68,55028.0,4.68
2017-11-02,4.7,4.7,4.6,4.62,64776.0,4.62
2017-11-03,4.62,4.63,4.52,4.55,55793.0,4.55
2017-11-06,4.55,4.56,4.5,4.56,30162.0,4.56
2017-11-07,4.56,4.65,4.52,4.63,54876.0,4.63
2017-11-08,4.63,4.63,4.59,4.61,40519.0,4.61
2017-11-09,4.61,4.66,4.59,4.65,44863.0,4.65
2017-11-10,4.64,4.65,4.59,4.64,47488.0,4.64
2017-11-13,4.64,4.66,4.6,4.63,44918.0,4.63
2017-11-14,4.61,4.66,4.52,4.66,58436.0,4.66
2017-11-15,4.64,4.65,4.57,4.64,41072.0,4.64
2017-11-16,4.61,4.65,4.58,4.64,44997.0,4.64
2017-11-17,4.63,4.63,4.46,4.59,65439.0,4.59
2017-11-20,4.5,4.54,4.36,4.5,41511.0,4.5
2017-11-21,4.47,4.52,4.46,4.47,24833.0,4.47
2017-11-22,4.46,4.49,4.36,4.39,47315.0,4.39
2017-11-23,4.37,4.37,4.22,4.22,70238.0,4.22
2017-11-24,4.22,4.23,4.18,4.21,33993.0,4.21
2017-11-27,4.23,4.23,4.17,4.18,30141.0,4.18
2017-11-28,4.19,4.24,4.18,4.23,33942.0,4.23
2017-11-29,4.23,4.28,4.19,4.24,35443.0,4.24
2017-11-30,4.24,4.25,4.2,4.2,25756.0,4.2
2017-12-01,4.2,4.24,4.2,4.22,23653.0,4.22
2017-12-04,4.24,4.24,4.17,4.17,34317.0,4.17
2017-12-05,4.17,4.19,3.96,3.97,82009.0,3.97
2017-12-06,3.98,4.04,3.94,4.0,52186.0,4.0
2017-12-07,4.0,4.07,3.97,4.04,54769.0,4.04
2017-12-08,4.04,4.13,4.02,4.11,39850.0,4.11
2017-12-11,4.1,4.17,4.09,4.17,53082.0,4.17
2017-12-12,4.18,4.25,4.12,4.22,70641.0,4.22
2017-12-13,4.23,4.23,4.17,4.19,25837.0,4.19
2017-12-14,4.2,4.27,4.16,4.23,44503.0,4.23
2017-12-15,4.2,4.22,4.16,4.18,26415.0,4.18
2017-12-18,4.17,4.24,4.13,4.2,29541.0,4.2
2017-12-19,4.2,4.24,4.16,4.17,43643.0,4.17
2017-12-20,4.17,4.18,4.09,4.1,25422.0,4.1
2017-12-21,4.1,4.19,4.09,4.16,40698.0,4.16
2017-12-22,4.19,4.19,4.12,4.13,15108.0,4.13
2017-12-25,4.13,4.16,4.08,4.1,22402.0,4.1
2017-12-26,4.08,4.1,4.05,4.1,17482.0,4.1
2017-12-27,4.1,4.1,4.06,4.06,21164.0,4.06
2017-12-28,4.07,4.14,4.07,4.12,29619.0,4.12
2017-12-29,4.13,4.16,4.12,4.14,24351.0,4.14
2018-01-02,4.15,4.5,4.15,4.32,71539.0,4.32
2018-01-03,4.35,4.35,4.22,4.27,67990.0,4.27
2018-01-04,4.27,4.33,4.23,4.29,43809.0,4.29
2018-01-05,4.26,4.45,4.26,4.34,85226.0,4.34
2018-01-08,4.29,4.41,4.27,4.37,68722.0,4.37
2018-01-09,4.35,4.55,4.31,4.41,107800.0,4.41
2018-01-10,4.39,4.42,4.29,4.32,57349.0,4.32
2018-01-11,4.3,4.32,4.23,4.29,37496.0,4.29
2018-01-12,4.28,4.46,4.24,4.37,105458.0,4.37
