Date Time,Open,High,Low,Close,Volume,Adj Close
2017-12-01,24.97,25.15,24.81,24.87,134417.0,24.87
2017-12-04,24.79,25.15,24.67,25.08,120402.0,25.08
2017-12-05,25.03,25.52,24.95,25.4,156689.0,25.4
2017-12-06,25.3,25.5,24.98,25.27,131567.0,25.27
2017-12-07,25.31,25.48,24.98,25.03,70937.0,25.03
2017-12-08,25.01,25.5,24.91,25.32,84271.0,25.32
2017-12-11,25.58,26.1,25.39,26.08,102503.0,26.08
2017-12-12,25.91,26.25,25.73,25.92,90764.0,25.92
2017-12-13,25.87,26.6,25.7,26.55,156264.0,26.55
2017-12-14,26.5,26.7,26.36,26.61,97702.0,26.61
2017-12-15,26.61,26.75,26.1,26.3,62152.0,26.3
2017-12-18,26.3,26.68,26.06,26.24,68528.0,26.24
2017-12-19,26.37,27.15,26.27,26.97,105807.0,26.97
2017-12-20,27.05,27.63,26.85,27.06,130141.0,27.06
2017-12-21,27.24,27.75,26.88,27.45,109210.0,27.45
